1772942451.4980397,2,28.56,19.58,49.0
1772942453.4979799,2,28.56,19.54,49.0
1772942453.498257,2,28.54,19.44,49.0
1772942455.4980361,2,28.54,19.32,48.0
1772942455.4982953,2,28.54,19.28,48.0
1772942456.4980679,2,28.51,19.16,48.0
1772942457.4981027,2,28.51,19.08,47.0
1772942459.4630837,2,28.49,18.98,46.0
1772942461.4720917,2,28.47,18.83,46.0
1772942464.463301,2,28.47,18.82,46.0
1772942464.4635565,2,28.44,18.67,46.0
1772942465.4702392,2,28.42,18.61,46.0
1772942467.463293,2,28.42,18.61,45.0
1772942470.4761992,2,28.42,18.61,45.0
1772942470.476421,2,28.39,18.69,45.0
1772942472.4759107,2,28.4,18.74,44.0
1772942472.4760876,2,28.4,18.8,44.0
1772942473.4762213,2,28.36,18.73,44.0
1772942475.463345,2,28.35,18.9,44.0
1772942477.4633257,2,28.32,18.88,44.0
1772942479.4903643,2,28.33,18.8,44.0
1772942479.4906332,2,28.33,18.89,44.0
1772942480.4902143,2,28.33,18.91,44.0
1772942482.4632692,2,28.33,18.96,44.0
1772942485.4652438,2,28.35,18.99,43.0
1772942485.465502,2,28.3,19.02,43.0
1772942486.4672754,2,28.3,19.07,42.0
1772942487.4903598,2,28.29,19.12,42.0
1772942488.4904225,2,28.29,19.1,41.0
1772942489.490452,2,28.3,19.15,41.0
1772942493.4632258,2,28.27,19.16,40.0
1772942493.4634469,2,28.24,19.12,40.0
1772942494.4643233,2,28.24,19.07,39.0
1772942495.4654639,2,28.24,19.03,39.0
1772942496.465439,2,28.23,19.02,39.0
1772942498.4662375,2,28.26,19.08,38.0
1772942498.4665692,2,28.23,19.08,38.0
1772942500.467364,2,28.22,19.12,38.0
1772942500.4676247,2,28.24,19.08,38.0
1772942503.4763992,2,28.2,18.98,38.0
1772942503.476639,2,28.2,19.05,38.0
1772942504.4764059,2,28.22,18.94,38.0
1772942505.4765751,2,28.19,18.97,38.0
1772942506.4763613,2,28.17,18.96,37.0
1772942507.476228,2,28.16,18.95,37.0
1772942509.463381,2,28.13,18.93,37.0
1772942510.4632807,2,28.15,18.92,37.0
1772942512.466492,2,28.12,18.87,37.0
1772942512.4667172,2,28.13,18.87,37.0
1772942513.4665473,2,28.09,18.87,37.0
1772942515.466435,2,28.09,18.85,37.0
1772942515.4667315,2,28.1,18.88,37.0
1772942516.466356,2,28.09,18.86,37.0
1772942518.4673529,2,28.08,18.88,37.0
1772942518.4676137,2,28.05,18.9,38.0
1772942519.4677093,2,28.01,18.81,38.0
1772942520.46765,2,28.03,18.76,38.0
1772942522.4635205,2,28.01,18.78,39.0
1772942523.4635658,2,27.99,18.71,39.0
1772942524.4636438,2,27.99,18.83,39.0
1772942525.4715183,2,27.98,18.89,39.0
1772942527.463619,2,27.96,18.95,40.0
1772942528.4635296,2,27.96,18.89,40.0
1772942529.463672,2,27.92,18.94,40.0
1772942530.463697,2,27.92,19.03,40.0
1772942531.4663863,2,27.92,19.08,40.0
1772942532.4666376,2,27.88,19.11,40.0
1772942533.466708,2,27.85,19.1,40.0
1772942535.4665897,2,27.85,19.27,41.0
1772942537.4667346,2,27.85,19.3,41.0
1772942537.4669924,2,27.84,19.45,41.0
1772942539.4637337,2,27.84,19.77,41.0
1772942540.4637127,2,27.81,19.9,41.0
1772942542.4656951,2,27.81,19.95,41.0
1772942542.4659746,2,27.81,20.01,41.0
1772942543.465792,2,27.8,20.11,41.0
1772942544.4676843,2,27.81,20.25,41.0
1772942545.4678142,2,27.77,20.3,41.0
1772942546.4676936,2,27.75,20.35,41.0
1772942547.4676275,2,27.75,20.43,41.0
1772942548.4674585,2,27.75,20.53,41.0
1772942550.4875586,2,27.74,20.62,41.0
1772942552.4638405,2,27.74,20.64,41.0
